Tipo_cx,Tratamiento,Dieta_recomendada
cxnln,"Ibuprofeno, Paracetamol, Povidona yodada, Diclofenaco, Bolsas de gel frio","Dieta equilibrada, rica en proteinas y vitaminas, Suficiente hidratacion"
cxnln,"Acetaminofen,Ibuprofeno coxll ,Povidona yodada,Cefalexina","Proteinas, frutas, verduras, granos enteros, acidos grasos, lacteos, suficente agua"
cxnln,"Acetaminofen, celecoxion, profaxis antibiotica, aplicacion topica de clorhexidina","Frutas ricas en antioxidante,vegetales de hoja verde "
cxnll,"Acetaminofen, celecoxib,profliscticos, inhaladores","Frutas, verduras,granos enteros , proteinas, lacteos , nueces , semillas,hidratacion"
cxnll,"Acetominofen, montelukast,profilacticos, mupiricion","Frutas antioxidantes,vegetales,proteinas,carbohidratos, grasas saludables, alimentos ricos en magnesio, hidratacion"
cxnll,"Acetaminofen, inhaladores, antibioticos, hidrocortosina","Verduras, proteinas, nueces, liquidos, verduras, cereales, grasas saludables"
cxnlll,"Acetaminofen, gabapetina, antibioticos profilacticos,amlodipino","Lacteos bajos en grasa , nueces , semillas, legumbres, hidrtacion, proteinas, granos enteros"
cxnlll,"tylenol, neurotin, feflex, aplicacion de hielo, Cardizem","Frutas, verduras, proteinas magras, granos enteros , lacteos bajos en grasa, hidritacion"
cxnlll,"Tylenol, cozaar, keflex, neurontin, augmentin","Proteinas, frutas, verduras, grasas saludables, cereales"
cxnllll,"Acetaminofen, advil, tramadol","Hidratacion, vitaminas, zinc, grasas saludables, proteinas"
cxnllll,"Tylenol, mortin, keflez, aplicaion de yoda, vendajes y cabios regulares ","Proteina, frutas, granos enteros, nueces, semillas, hidratacion"
cxnllll,"Celebrex, tylenol, profiliaxis, cuidado de las inisiones, sosten postoperatorio","Paracetamol, advil, oxiconoda, cuiddo de incisiones, fajas compresivas"
cxnlln,"Mantener la zona limpia y seca para prevenir infecciones, uso de prendas de compresion, analgesicos, medicamentos para el dolor","Buena hidratacion, dieta rica en frutas, verduras, proteinas magras, granos,
alimentos ricos en fibra, vitamina C y zinc, evita el alcohol y la cafeina en exceso, comer en porciones moderadas"
cxnlln,"Descanso adecuado, medicacion, uso de sujetadores especiales","Alimentos ricos en proteinas, alimentos ricos en fibra, acidos grasos omega lll, hidratacion adecuada, evitar alimentos procesados, grasas saturadas"
cxnlln,"Colagenasa, dexpantenol, compresas frias, bolsas de hielo envueltas en un paño sobre los senos, fisioterapia, masaje de drenaje linfatico","Alimentos ricos en antioxidantes, acidos grasos, omega lll, salmon, nueces, semillas de chia, bayas, suplementos de proteinas, alimentos ricos en colageno, caldo de huesos, pescado, carne magra, huevos, vegetales de hojas verdes, te de manzanilla y menta, evitar productos lacteos, los alimentos procesados, exceso de sal, edulcorantes artificiales"
cxnlll,"Practica tecnicas de respiracion profunda y controlada, albuterol, teofilina
 ","Frutas, verduras frescas, pescado, omega lll, nueces, semillas, bebe suficiente agua, evita los alimentos procesados, ricos en grasas saturadas, azucares refinados y aditivos, ingerir vitamina D y vitamina C"
cxnlll,"Ambiente limpio, libre de alergenos, salbutamol, Inhalador para asmaticos, realiza ejercicios suaves, descanso adecuado","Antioxidantes, acidos grasos, omega lll, frutas, verduras, salmon, sardinas, nueces, semillas, tomar suficiente agua, comidas pequeñas y frecuentes, vitamina C, vitamina D y magnesio"
cxnllll,"Enalapril, lisinopril, furosemida, metoprolol, doxazosina","Priorizar frutas, verduras, aceite de oliva, hidratacion adecuada, limitacion de alcohol y cafeina, sodio, evitar alimentos procesados y enlatados"
cxnllll,"Valsartan, espironolactona, propranolol, terazosina","frutas y verduras, aceite de oliva, hidratacion adecuada, limita ingesta de sodio, alimentos procesados, enlatados, consumo de alcohol, cafeina"
cxnllll,"Olmesartan, hidroclorotiazida, atenolol","Frutas, verduras, proteinas magras, grasas saludables"
cxnlllll,"Advil, tylenol, corticosteroides","Liquidos, vitaminas, minerales, potasio, carnes, proteinas"
cxnlllll,"Ibuprofeno, naproxeno,  calcitriol, PhosLo, Fosrenol","Carnes magras, productos lacteos bajos en grasa, vegetales y hortalizas, frutas, cereales no integrales"
cxnllln,"Paracetamol, Codeina, Tramadol, Oxicodona, Ibuprofeno, Naproxeno, Diclofenaco","Fuentes magras de proteinas como pollo, pavo, pescado, tofu, claras de huevo, legumbres y lacteos bajos en grasa en tus comidas y meriendas."
